                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.53644,                0.77754,                0.54603,                 0.9695,                0.39915,                 0.4006,                0.55554,                0.51141,                0.39915,                 0.4006,                0.55672,                0.50349,                0.41589,                  0.884,                 2.7612,                0.89965,             0.00038507,             0.00038507,             0.00038507
                     36,                0.52328,                0.72005,                0.54396,                0.97299,                0.48638,                0.59126,                0.61889,                0.53812,                0.47723,                0.58002,                0.59717,                 0.5323,                0.47546,                0.97067,                 2.7431,                0.94126,             0.00036307,             0.00036307,             0.00036307
                     37,                0.51855,                0.73965,                0.51739,                0.96575,                0.40015,                0.41951,                0.57855,                0.51597,                0.40015,                0.41951,                 0.5809,                0.52077,                0.45334,                0.90983,                 2.7992,                   0.94,             0.00034108,             0.00034108,             0.00034108
                     38,                 0.5222,                0.75024,                0.51459,                0.97044,                0.39986,                0.41932,                 0.5671,                0.51617,                0.39986,                0.41932,                0.56998,                0.51448,                0.44639,                0.90325,                 2.9086,                0.93451,             0.00031908,             0.00031908,             0.00031908
                     39,                0.50436,                0.76975,                0.51213,                0.96815,                0.39881,                    0.4,                0.48505,                 0.4318,                0.39881,                    0.4,                0.48564,                0.44553,                0.46427,                0.93515,                 3.1218,                0.93934,             0.00029708,             0.00029708,             0.00029708
                     40,                0.51135,                0.74201,                 0.4768,                0.95602,                0.39889,                    0.4,                0.46009,                0.42305,                0.39889,                    0.4,                 0.4595,                0.42896,                0.43978,                0.94993,                 3.0636,                0.92193,             0.00027508,             0.00027508,             0.00027508
                     41,                0.30977,                0.51131,                0.37876,                0.92196,                0.39861,                    0.4,                0.41303,                 0.3742,                0.39861,                    0.4,                 0.4097,                0.37225,                0.45852,                0.87312,                 3.2039,                0.93249,             0.00025309,             0.00025309,             0.00025309
                     42,                0.31647,                0.49989,                0.35793,                0.90226,                0.39848,                    0.4,                0.41725,                0.38024,                0.39848,                    0.4,                   0.41,                0.38199,                0.43514,                0.89268,                 3.1604,                0.91244,             0.00023109,             0.00023109,             0.00023109
                     43,                0.31039,                0.49226,                0.35005,                0.90509,                0.39862,                    0.4,                 0.4196,                0.37524,                0.39862,                    0.4,                0.41081,                0.38228,                0.50326,                0.91265,                 3.1498,                0.95614,             0.00020909,             0.00020909,             0.00020909
                     44,                0.31957,                0.48337,                0.34115,                0.91754,                0.39875,                    0.4,                 0.4416,                0.39477,                0.39875,                    0.4,                0.44186,                0.40794,                0.52776,                0.94897,                 3.1903,                  0.975,             0.00018709,             0.00018709,             0.00018709
                     45,                0.31259,                0.48016,                0.32662,                0.89435,                0.39978,                 0.4013,                0.47024,                0.42183,                0.39978,                 0.4013,                0.47024,                0.43428,                0.48385,                0.90895,                 3.1541,                0.95008,             0.00016509,             0.00016509,             0.00016509
                     46,                0.29534,                0.47703,                0.31575,                0.89958,                0.39103,                0.40959,                0.54118,                 0.4864,                0.39103,                0.40959,                0.54177,                0.49528,                0.44757,                0.90169,                 3.2806,                0.91866,              0.0001431,              0.0001431,              0.0001431
                     47,                0.29294,                 0.4718,                0.30674,                0.90248,                0.39971,                0.41843,                0.52875,                0.48479,                0.39971,                0.41843,                0.53028,                0.48003,                0.44811,                 0.8636,                 3.2967,                0.92033,              0.0001211,              0.0001211,              0.0001211
                     48,                0.28956,                0.47498,                0.29377,                0.89528,                 0.3997,                0.41854,                0.50806,                 0.4651,                 0.3997,                0.41854,                0.50982,                0.46358,                0.43475,                0.86962,                 3.3013,                0.91205,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.28933,                0.47929,                0.29611,                0.89717,                0.39979,                0.41855,                0.47513,                 0.4286,                0.39979,                0.41855,                0.47684,                0.43415,                0.44694,                0.87533,                 3.2205,                 0.9205,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                 0.2734,                 0.4724,                0.28664,                0.88227,                0.39965,                0.40121,                0.47294,                0.42542,                0.39965,                0.40121,                0.47516,                0.43663,                0.43503,                0.87541,                 3.2239,                0.91532,             5.5106e-05,             5.5106e-05,             5.5106e-05
